Linac Beam 
4.6554736000e+00 5.2421066032e+00 5.2421066032e+00 
4.7460704000e+00 5.4316428206e+00 5.4316428206e+00 
4.8382701000e+00 5.6259116625e+00 5.6259116625e+00 
4.9320777000e+00 5.8249634713e+00 5.8249634713e+00 
5.0275065000e+00 6.0289637244e+00 6.0289637244e+00 
5.1245686000e+00 6.2377299006e+00 6.2377299006e+00 
5.2232680000e+00 6.4514411834e+00 6.4514411834e+00 
5.3236160000e+00 6.6699848739e+00 6.6699848739e+00 
5.4256250000e+00 6.8935378519e+00 6.8935378519e+00 
5.5292970000e+00 7.1220927605e+00 7.1220927605e+00 
5.6346470000e+00 7.3556958821e+00 7.3556958821e+00 
5.7416760000e+00 7.5942567235e+00 7.5942567235e+00 
5.8503960000e+00 7.8379289733e+00 7.8379289733e+00 
5.9608160000e+00 8.0866002452e+00 8.0866002452e+00 
6.0729380000e+00 8.3404623111e+00 8.3404623111e+00 
6.1867700000e+00 8.5992402713e+00 8.5992402713e+00 
6.3023220000e+00 8.8629614128e+00 8.8629614128e+00 
6.4195920000e+00 9.1316602819e+00 9.1316602819e+00 
6.5385920000e+00 9.4053319407e+00 9.4053319407e+00 
6.6593200000e+00 9.6840146021e+00 9.6840146021e+00 
6.7817840000e+00 9.9678295402e+00 9.9678295402e+00 
6.9059930000e+00 1.0256684491e+01 1.0256684491e+01 
7.0319430000e+00 1.0550477493e+01 1.0550477493e+01 
7.1596460000e+00 1.0849424108e+01 1.0849424108e+01 
7.2890990000e+00 1.1153455860e+01 1.1153455860e+01 
7.4203090000e+00 1.1462462422e+01 1.1462462422e+01 
7.5532830000e+00 1.1776678292e+01 1.1776678292e+01 
7.6880170000e+00 1.2096026985e+01 1.2096026985e+01 
7.8245190000e+00 1.2420527294e+01 1.2420527294e+01 
7.9627960000e+00 1.2750148698e+01 1.2750148698e+01 
8.1028430000e+00 1.3084940703e+01 1.3084940703e+01 
8.2446710000e+00 1.3424916838e+01 1.3424916838e+01 
8.3882750000e+00 1.3770079284e+01 1.3770079284e+01 
8.5336620000e+00 1.4120585978e+01 1.4120585978e+01 
8.6808380000e+00 1.4476117222e+01 1.4476117222e+01 
8.8297980000e+00 1.4837024549e+01 1.4837024549e+01 
8.9805480000e+00 1.5203147793e+01 1.5203147793e+01 
9.1330950000e+00 1.5574481009e+01 1.5574481009e+01 
9.2874330000e+00 1.5951073969e+01 1.5951073969e+01 
9.4435720000e+00 1.6333070231e+01 1.6333070231e+01 
9.6015050000e+00 1.6720122036e+01 1.6720122036e+01 
9.7612390000e+00 1.7112630778e+01 1.7112630778e+01 
9.9227790000e+00 1.7510325008e+01 1.7510325008e+01 
1.0086119000e+01 1.7913489279e+01 1.7913489279e+01 
1.0251264000e+01 1.8321778623e+01 1.8321778623e+01 
1.0418220000e+01 1.8735306433e+01 1.8735306433e+01 
1.0586978000e+01 1.9153840694e+01 1.9153840694e+01 
1.0757547000e+01 1.9577384907e+01 1.9577384907e+01 
1.0929918000e+01 2.0005947934e+01 2.0005947934e+01 
1.1101820000e+01 2.0434605441e+01 2.0434605441e+01 
1.1275181000e+01 2.0842987311e+01 2.0842987311e+01 
1.1452637000e+01 2.1238148578e+01 2.1238148578e+01 
1.1630939000e+01 2.1238148578e+01 2.1238148578e+01 
1.1812043000e+01 2.1662508215e+01 2.1662508215e+01 
1.1995171000e+01 2.2110386057e+01 2.2110386057e+01 
1.2177844000e+01 2.2576748498e+01 2.2576748498e+01 
1.2362354000e+01 2.3047700432e+01 2.3047700432e+01 
1.2548698000e+01 2.3523211276e+01 2.3523211276e+01 
1.2736872000e+01 2.4003199698e+01 2.4003199698e+01 
1.2926873000e+01 2.4487695982e+01 2.4487695982e+01 
1.3118698000e+01 2.4976608341e+01 2.4976608341e+01 
1.3312342000e+01 2.5469914945e+01 2.5469914945e+01 
1.3507802000e+01 2.5967583071e+01 2.5967583071e+01 
1.3705074000e+01 2.6469522101e+01 2.6469522101e+01 
1.3904154000e+01 2.6975765590e+01 2.6975765590e+01 
1.4105038000e+01 2.7486215622e+01 2.7486215622e+01 
1.4307722000e+01 2.8000914309e+01 2.8000914309e+01 
1.4512202000e+01 2.8519759552e+01 2.8519759552e+01 
1.4718473000e+01 2.9042722907e+01 2.9042722907e+01 
1.4926531000e+01 2.9569771254e+01 2.9569771254e+01 
1.5136372000e+01 3.0100797343e+01 3.0100797343e+01 
1.5347990000e+01 3.0635844382e+01 3.0635844382e+01 
1.5561381000e+01 3.1174803259e+01 3.1174803259e+01 
1.5776541000e+01 3.1717720732e+01 3.1717720732e+01 
1.5993464000e+01 3.2264481312e+01 3.2264481312e+01 
1.6212146000e+01 3.2815057104e+01 3.2815057104e+01 
1.6432581000e+01 3.3369411156e+01 3.3369411156e+01 
1.6654765000e+01 3.3927500504e+01 3.3927500504e+01 
1.6878692000e+01 3.4489301336e+01 3.4489301336e+01 
1.7104358000e+01 3.5054771537e+01 3.5054771537e+01 
1.7331757000e+01 3.5623886348e+01 3.5623886348e+01 
1.7560884000e+01 3.6196605992e+01 3.6196605992e+01 
1.7791733000e+01 3.6772806472e+01 3.6772806472e+01 
1.8024299000e+01 3.7352542773e+01 3.7352542773e+01 
1.8255632000e+01 3.7930832903e+01 3.7930832903e+01 
1.8488927000e+01 3.8489450543e+01 3.8489450543e+01 
1.8732070000e+01 3.9037325980e+01 3.9037325980e+01 
1.8970438000e+01 3.9037325980e+01 3.9037325980e+01 
1.9212174000e+01 3.9569940861e+01 3.9569940861e+01 
1.9455821000e+01 4.0129313785e+01 4.0129313785e+01 
1.9698067000e+01 4.0711233240e+01 4.0711233240e+01 
1.9941946000e+01 4.1296187163e+01 4.1296187163e+01 
2.0187452000e+01 4.1884152175e+01 4.1884152175e+01 
2.0434579000e+01 4.2475081399e+01 4.2475081399e+01 
2.0683323000e+01 4.3068950818e+01 4.3068950818e+01 
2.0933678000e+01 4.3665731284e+01 4.3665731284e+01 
2.1185638000e+01 4.4265284793e+01 4.4265284793e+01 
2.1439197000e+01 4.4867673372e+01 4.4867673372e+01 
2.1694350000e+01 4.5472876584e+01 4.5472876584e+01 
2.1951092000e+01 4.6080861367e+01 4.6080861367e+01 
2.2209417000e+01 4.6691480002e+01 4.6691480002e+01 
2.2469319000e+01 4.7304818597e+01 4.7304818597e+01 
2.2730792000e+01 4.7920731213e+01 4.7920731213e+01 
2.2993831000e+01 4.8539299437e+01 4.8539299437e+01 
2.3258430000e+01 4.9160373467e+01 4.9160373467e+01 
2.3524584000e+01 4.9784041205e+01 4.9784041205e+01 
2.3792286000e+01 5.0410153961e+01 5.0410153961e+01 
2.4061531000e+01 5.1038798727e+01 5.1038798727e+01 
2.4332314000e+01 5.1669824791e+01 5.1669824791e+01 
2.4604628000e+01 5.2303200811e+01 5.2303200811e+01 
2.4878467000e+01 5.2939018286e+01 5.2939018286e+01 
2.5153826000e+01 5.3577126326e+01 5.3577126326e+01 
2.5430699000e+01 5.4217489965e+01 5.4217489965e+01 
2.5709081000e+01 5.4860207191e+01 5.4860207191e+01 
2.5985455000e+01 5.5501874394e+01 5.5501874394e+01 
2.6263656000e+01 5.6120119387e+01 5.6120119387e+01 
2.6553071000e+01 5.6719000431e+01 5.6719000431e+01 
2.6836552000e+01 5.6719000431e+01 5.6719000431e+01 
2.7123796000e+01 5.7306745244e+01 5.7306745244e+01 
2.7412825000e+01 5.7922410708e+01 5.7922410708e+01 
2.7699704000e+01 5.8564072678e+01 5.8564072678e+01 
2.7988023000e+01 5.9207681907e+01 5.9207681907e+01 
2.8277776000e+01 5.9853212622e+01 5.9853212622e+01 
2.8568957000e+01 6.0500638144e+01 6.0500638144e+01 
2.8861561000e+01 6.1149930752e+01 6.1149930752e+01 
2.9155582000e+01 6.1801063780e+01 6.1801063780e+01 
2.9451014000e+01 6.2454014172e+01 6.2454014172e+01 
2.9747852000e+01 6.3108752506e+01 6.3108752506e+01 
3.0046090000e+01 6.3765121804e+01 6.3765121804e+01 
3.0345723000e+01 6.4423229921e+01 6.4423229921e+01 
3.0646744000e+01 6.5083049279e+01 6.5083049279e+01 
3.0949149000e+01 6.5744556832e+01 6.5744556832e+01 
3.1252932000e+01 6.6407730470e+01 6.6407730470e+01 
3.1558087000e+01 6.7072542680e+01 6.7072542680e+01 
3.1864609000e+01 6.7738970453e+01 6.7738970453e+01 
3.2172492000e+01 6.8406851496e+01 6.8406851496e+01 
3.2481730000e+01 6.9076300047e+01 6.9076300047e+01 
3.2792318000e+01 6.9747290444e+01 6.9747290444e+01 
3.3104251000e+01 7.0419803346e+01 7.0419803346e+01 
3.3417523000e+01 7.1093671121e+01 7.1093671121e+01 
3.3732128000e+01 7.1769013461e+01 7.1769013461e+01 
3.4044105000e+01 7.2444871317e+01 7.2444871317e+01 
3.4357794000e+01 7.3094908865e+01 7.3094908865e+01 
3.4683768000e+01 7.3717422878e+01 7.3717422878e+01 
3.5002893000e+01 7.3717422878e+01 7.3717422878e+01 
3.5326115000e+01 7.4361314352e+01 7.4361314352e+01 
3.5651068000e+01 7.5034838032e+01 7.5034838032e+01 
3.5973326000e+01 7.5738270726e+01 7.5738270726e+01 
3.6296918000e+01 7.6443104152e+01 7.6443104152e+01 
3.6621839000e+01 7.7149317813e+01 7.7149317813e+01 
3.6948083000e+01 7.7856730355e+01 7.7856730355e+01 
3.7275645000e+01 7.8565482132e+01 7.8565482132e+01 
3.7604519000e+01 7.9275546532e+01 7.9275546532e+01 
3.7934699000e+01 7.9986742141e+01 7.9986742141e+01 
3.8266179000e+01 8.0699219332e+01 8.0699219332e+01 
3.8598954000e+01 8.1412779742e+01 8.1412779742e+01 
3.8933018000e+01 8.2127565483e+01 8.2127565483e+01 
